pair_id,left_g3_entity_id,right_g3_entity_id,seed_mask_code,cohort,left_top1_g1,right_top1_g1,left_top1_cov,right_top1_cov,left_top1_dk,right_top1_dk,consistency_status
SPL_5_3,NGIQ-BR-00000139,NGIQ-BR-00000140,SPL,SINGLE_SEED_CONTROL,Superior Parietal Lobule,Superior Parietal Lobule,0.985197,0.979167,superiorparietal,superiorparietal,SAME_TOP1_TARGET
SPL_5_4,NGIQ-BR-00000141,NGIQ-BR-00000142,SPL,SINGLE_SEED_CONTROL,Superior Parietal Lobule,Superior Parietal Lobule,0.988279,0.986339,superiorparietal,superiorparietal,SAME_TOP1_TARGET
SPL_5_5,NGIQ-BR-00000143,NGIQ-BR-00000144,SPL,SINGLE_SEED_CONTROL,Superior Parietal Lobule,Superior Parietal Lobule,1.0,0.967374,superiorparietal,superiorparietal,SAME_TOP1_TARGET
IPL_6_1,NGIQ-BR-00000011,NGIQ-BR-00000012,IPL,COMPOSITE_SEED_PENDING,Inferior Parietal Lobule,Inferior Parietal Lobule,0.969985,0.98316,inferiorparietal,inferiorparietal,SAME_TOP1_TARGET
IPL_6_2,NGIQ-BR-00000145,NGIQ-BR-00000146,IPL,COMPOSITE_SEED_PENDING,Inferior Parietal Lobule,Inferior Parietal Lobule,0.794705,0.927823,inferiorparietal,inferiorparietal,ASYMMETRIC_COVERAGE
IPL_6_3,NGIQ-BR-00000147,NGIQ-BR-00000148,IPL,COMPOSITE_SEED_PENDING,Supramarginal Gyrus,Supramarginal Gyrus,0.974017,0.794611,supramarginal,supramarginal,ASYMMETRIC_COVERAGE
IPL_6_4,NGIQ-BR-00000149,NGIQ-BR-00000150,IPL,COMPOSITE_SEED_PENDING,Supramarginal Gyrus,Supramarginal Gyrus,0.82732,0.695634,supramarginal,supramarginal,ASYMMETRIC_COVERAGE
IPL_6_5,NGIQ-BR-00000151,NGIQ-BR-00000152,IPL,COMPOSITE_SEED_PENDING,Inferior Parietal Lobule,Inferior Parietal Lobule,0.901837,0.917989,inferiorparietal,inferiorparietal,SAME_TOP1_TARGET
IPL_6_6,NGIQ-BR-00000153,NGIQ-BR-00000154,IPL,COMPOSITE_SEED_PENDING,Supramarginal Gyrus,Supramarginal Gyrus,0.970365,0.965971,supramarginal,supramarginal,SAME_TOP1_TARGET
PCun_4_1,NGIQ-BR-00000155,NGIQ-BR-00000156,Pcun,SINGLE_SEED_CONTROL,Precuneus,Precuneus,0.9062,0.855178,precuneus,precuneus,SAME_TOP1_TARGET
PCun_4_2,NGIQ-BR-00000157,NGIQ-BR-00000158,Pcun,SINGLE_SEED_CONTROL,Precuneus,Precuneus,0.903514,0.945191,precuneus,precuneus,SAME_TOP1_TARGET
PCun_4_3,NGIQ-BR-00000159,NGIQ-BR-00000160,Pcun,SINGLE_SEED_CONTROL,Precuneus,Precuneus,0.963516,0.923723,precuneus,precuneus,SAME_TOP1_TARGET
PCun_4_4,NGIQ-BR-00000161,NGIQ-BR-00000162,Pcun,SINGLE_SEED_CONTROL,Precuneus,Precuneus,0.95015,0.969338,precuneus,precuneus,SAME_TOP1_TARGET
PoG_4_1,NGIQ-BR-00000163,NGIQ-BR-00000164,PoG,SINGLE_SEED_CONTROL,Postcentral Gyrus,Postcentral Gyrus,0.987623,0.990146,postcentral,postcentral,SAME_TOP1_TARGET
PoG_4_2,NGIQ-BR-00000165,NGIQ-BR-00000166,PoG,SINGLE_SEED_CONTROL,Postcentral Gyrus,Postcentral Gyrus,0.910906,0.930181,postcentral,postcentral,SAME_TOP1_TARGET
PoG_4_3,NGIQ-BR-00000167,NGIQ-BR-00000168,PoG,SINGLE_SEED_CONTROL,Postcentral Gyrus,Postcentral Gyrus,0.899218,0.97951,postcentral,postcentral,SAME_TOP1_TARGET
PoG_4_4,NGIQ-BR-00000169,NGIQ-BR-00000170,PoG,SINGLE_SEED_CONTROL,Postcentral Gyrus,Postcentral Gyrus,0.951705,0.965445,postcentral,postcentral,SAME_TOP1_TARGET
INS_6_1,NGIQ-BR-00000013,NGIQ-BR-00000014,INS,SINGLE_SEED_CONTROL,Insula,Insula,0.965258,0.946886,insula,insula,SAME_TOP1_TARGET
INS_6_2,NGIQ-BR-00000171,NGIQ-BR-00000172,INS,SINGLE_SEED_CONTROL,Insula,Insula,0.601116,0.920097,insula,insula,ASYMMETRIC_COVERAGE
INS_6_3,NGIQ-BR-00000173,NGIQ-BR-00000174,INS,SINGLE_SEED_CONTROL,Insula,Insula,0.927098,0.93921,insula,insula,SAME_TOP1_TARGET
