canonical_g4_id,canonical_g4_name,hemisphere,relation,target_g3_id,source_reason,future_rollup_eligible,policy_version
NGIQ-BR-00000438,Area hIP5 (IPS) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000011,OWNER_CONFIRMED_PARTIAL_SET_CONCORDANT,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000439,Area hIP6 (IPS) right,right,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000146,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000440,Area hIP6 (IPS) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000145,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000441,Area hIP8 (IPS) right,right,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000214,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000442,Area hIP8 (IPS) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000213,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000442,Area hIP8 (IPS) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000137,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000443,Area 6v3 (PreCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000080,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000443,Area 6v3 (PreCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000070,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000444,Area 6v3 (PreCG) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000079,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000445,Area 6v2 (PreCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000080,OWNER_CONFIRMED_PARTIAL_SET_CONCORDANT,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000445,Area 6v2 (PreCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000036,OWNER_CONFIRMED_PARTIAL_SET_CONCORDANT,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000446,Area 6v2 (PreCG) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000079,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000446,Area 6v2 (PreCG) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000035,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000447,Area 6r1 (PreCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000080,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
