hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,left_right_pair_id,current_authority_decision,top1_dk_label,top1_dk_source_coverage,top2_dk_label,top2_dk_source_coverage,top1_minus_top2_margin,top1_g1_name,top1_g1_coverage,non_g1_dk_coverage_ratio,unlabeled_ratio
right,NGIQ-BR-00000152,144,IPL_R_6_5,rostroventral area 39(PGa),IPL,IPL_6_5,PENDING_HUMAN_REVIEW,inferiorparietal,0.917989,supramarginal,0.049386,0.868602,Right Inferior Parietal Lobule,0.917989,0.027237,0.0
right,NGIQ-BR-00000154,146,IPL_R_6_6,rostroventral area 40(PFop),IPL,IPL_6_6,PENDING_HUMAN_REVIEW,supramarginal,0.965971,postcentral,0.018561,0.947409,Right Supramarginal Gyrus,0.965971,0,0.0
right,NGIQ-BR-00000182,176,CG_R_7_1,dorsal area 23,CG,CG_7_1,PENDING_HUMAN_REVIEW,isthmuscingulate,0.616038,posteriorcingulate,0.346226,0.269811,Right Isthmus Of Cingulate Gyrus,0.616038,0,0.0
right,NGIQ-BR-00000184,178,CG_R_7_2,rostroventral area 24,CG,CG_7_2,PENDING_HUMAN_REVIEW,caudalanteriorcingulate,0.474679,rostralanteriorcingulate,0.272113,0.202566,Right Caudal Anterior Cingulate Cortex,0.474679,0,0.0
right,NGIQ-BR-00000186,180,CG_R_7_3,pregenual area 32,CG,CG_7_3,PENDING_HUMAN_REVIEW,caudalanteriorcingulate,0.805991,superiorfrontal,0.141227,0.664765,Right Caudal Anterior Cingulate Cortex,0.805991,0,0.0
right,NGIQ-BR-00000188,182,CG_R_7_4,ventral area 23,CG,CG_7_4,PENDING_HUMAN_REVIEW,isthmuscingulate,0.892114,posteriorcingulate,0.063722,0.828391,Right Isthmus Of Cingulate Gyrus,0.892114,0,0.0
right,NGIQ-BR-00000190,184,CG_R_7_5,caudodorsal area 24,CG,CG_7_5,PENDING_HUMAN_REVIEW,caudalanteriorcingulate,0.489766,posteriorcingulate,0.428363,0.061404,Right Caudal Anterior Cingulate Cortex,0.489766,0,0.0
right,NGIQ-BR-00000192,186,CG_R_7_6,caudal area 24,CG,CG_7_6,PENDING_HUMAN_REVIEW,posteriorcingulate,0.890982,paracentral,0.082763,0.808219,Right Posterior Cingulate Cortex,0.890982,0,0.0
right,NGIQ-BR-00000194,188,CG_R_7_7,subgenual area 32,CG,CG_7_7,PENDING_HUMAN_REVIEW,rostralanteriorcingulate,0.900935,superiorfrontal,0.06729,0.833645,Right Rostral Anterior Cingulate Cortex,0.900935,0,0.0
right,NGIQ-BR-00000016,190,MVOcC_R_5_1,caudal lingual gyrus,MVOcC,MVOcC_5_1,HUMAN_AUTHORITY_APPROVED_CANDIDATE,lingual,0.790174,pericalcarine,0.155578,0.634596,Right Lingual Gyrus,0.790174,0,0.0
right,NGIQ-BR-00000196,192,MVOcC_R_5_2,rostral cuneus gyrus,MVOcC,MVOcC_5_2,HUMAN_AUTHORITY_APPROVED_CANDIDATE,pericalcarine,0.44259,lingual,0.307744,0.134846,Right Pericalcarine Cortex,0.44259,0,0.0
right,NGIQ-BR-00000198,194,MVOcC_R_5_3,caudal cuneus gyrus,MVOcC,MVOcC_5_3,HUMAN_AUTHORITY_APPROVED_CANDIDATE,cuneus,0.560852,pericalcarine,0.391481,0.169371,Right Cuneus,0.560852,0,0.0
right,NGIQ-BR-00000200,196,MVOcC_R_5_4,rostral lingual gyrus,MVOcC,MVOcC_5_4,HUMAN_AUTHORITY_APPROVED_CANDIDATE,lingual,0.923177,parahippocampal,0.048177,0.875,Right Lingual Gyrus,0.923177,0,0.0
right,NGIQ-BR-00000202,198,MVOcC_R_5_5,ventromedial parietooccipital sulcus,MVOcC,MVOcC_5_5,NO_G1_ROLLUP,lingual,0.47494,cuneus,0.232697,0.242243,Right Lingual Gyrus,0.47494,0,0.0
